City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,lerwick,60.1545,-1.1494,48.2,97,100,13.87,GB,1715192795
154,happy valley-goose bay,53.3168,-60.3315,39.51,56,75,13.8,CA,1715192795
155,la sarre,48.8002,-79.1996,53.38,43,100,11.34,CA,1715192795
156,drabiv,49.963,32.1529,47.07,61,4,3.94,UA,1715192795
157,puerto baquerizo moreno,-0.9,-89.6,83.39,65,40,19.57,EC,1715192795
158,solleftea,63.1667,17.2667,40.86,79,98,4.52,SE,1715192795
159,kondopoga,62.2057,34.2614,31.69,64,100,8.68,RU,1715192762
160,ghanzi,-21.5667,21.7833,74.25,33,2,9.08,BW,1715192796
161,garzon,2.1959,-75.6278,73.15,98,100,2.26,CO,1715192796
162,smithers,54.7804,-127.1743,50.32,53,75,9.22,CA,1715192796
163,bikenibeu village,1.3673,173.1241,82.36,83,40,8.05,KI,1715192796
164,krasnozerskoye,53.9828,79.2374,52.18,50,41,4.23,RU,1715192796
165,zhongshu,24.5167,103.7667,59.34,97,100,1.54,CN,1715192796
166,batyrevo,55.0675,47.6111,35.13,84,47,9.71,RU,1715192796
167,christchurch,-43.5333,172.6333,40.53,89,75,5.75,NZ,1715192659
168,bandarbeyla,9.4942,50.8122,84.13,80,0,12.37,SO,1715192796
169,kantemirovka,49.7089,39.8592,44.49,55,5,7.0,RU,1715192796
170,klyuchi,52.2667,79.1667,56.88,47,33,5.75,RU,1715192797
171,ushuaia,-54.8,-68.3,38.82,81,20,1.14,AR,1715192402
172,nanping,26.645,118.1736,64.71,92,100,4.0,CN,1715192508
173,stephenville,32.2207,-98.2023,91.87,46,0,10.36,US,1715192473
174,haiku-pauwela,20.9219,-156.3051,77.22,74,20,3.44,US,1715192797
175,walvis bay,-22.9575,14.5053,63.55,77,8,4.61,NA,1715192797
176,miyazu,35.5333,135.1833,48.31,73,98,7.14,JP,1715192797
177,chernogorsk,53.8236,91.2842,54.97,47,0,8.95,RU,1715192797
178,puerto real,36.5282,-6.1901,77.16,33,0,23.02,ES,1715192797
179,hermanus,-34.4187,19.2345,58.84,79,2,1.54,ZA,1715192797
180,fountain hills,33.6117,-111.7174,84.52,18,0,9.22,US,1715192798
181,roswell,34.0232,-84.3616,83.98,76,100,8.05,US,1715192574
182,port alfred,-33.5906,26.891,66.18,91,99,1.99,ZA,1715192798
183,susangerd,31.5608,48.1831,78.82,24,0,10.42,IR,1715192798
184,wotho,10.1657,166.0102,81.09,79,100,21.41,MH,1715192798
185,pirane,-25.7324,-59.1088,80.08,81,100,11.83,AR,1715192798
186,tarija,-21.5355,-64.7296,82.31,36,75,17.27,BO,1715192589
187,stanley,54.868,-1.6985,59.77,71,20,10.36,GB,1715192798
188,olyokminsk,60.3736,120.4264,31.71,86,57,6.26,RU,1715192799
189,udachny,66.4167,112.4,19.45,89,78,7.31,RU,1715192659
190,goz beida,13.95,20.55,94.51,11,80,11.32,TD,1715192799
191,port elizabeth,-33.918,25.5701,64.09,87,75,9.22,ZA,1715192799
192,keflavik,64.0049,-22.5624,44.51,65,75,10.36,IS,1715192799
193,ha'il,27.5219,41.6907,77.02,19,0,11.5,SA,1715192799
194,addis ababa,9.025,38.7469,65.28,68,75,13.8,ET,1715192799
195,nova vicosa,-17.8919,-39.3719,83.71,66,20,8.72,BR,1715192799
196,island harbour,50.724,-1.2758,61.2,76,55,1.99,GB,1715192799
197,brisas de zicatela,15.8369,-97.0419,86.52,66,75,11.5,MX,1715192799
198,laojunmiao,39.8333,97.7333,58.41,24,100,15.59,CN,1715192800
199,carnarvon,-24.8667,113.6333,71.15,55,60,1.16,AU,1715192800
200,saint-philippe,-21.3585,55.7679,74.79,76,76,16.42,RE,1715192800
201,hilo,19.7297,-155.09,76.62,79,100,3.44,US,1715192800
202,midvagur,62.0511,-7.1939,49.03,100,100,12.66,FO,1715192800
203,prince rupert,54.3161,-130.3201,50.09,90,75,17.27,CA,1715192800
204,cill airne,52.05,-9.5167,61.12,65,87,5.01,IE,1715192800
205,bac lieu,9.285,105.7244,85.3,73,72,13.11,VN,1715192800
206,bel ombre,-4.6167,55.4167,80.44,89,20,3.44,SC,1715192800
207,acajutla,13.5928,-89.8275,88.16,66,96,7.29,SV,1715192801
208,uturoa,-16.7333,-151.4333,81.48,78,20,15.39,PF,1715192801
209,kodiak,57.79,-152.4072,38.71,65,0,9.22,US,1715192801
210,baise city,23.8997,106.6133,75.34,99,100,2.15,CN,1715192801
211,emporia,38.4039,-96.1817,77.52,43,0,12.66,US,1715192533
212,vilyuchinsk,52.9306,158.4028,34.93,83,98,7.45,RU,1715192801
213,khandyga,62.6667,135.6,33.6,96,100,3.87,RU,1715192801
214,caldas novas,-17.7417,-48.625,87.17,29,0,6.33,BR,1715192801
215,payson,40.0444,-111.7321,49.91,45,51,7.0,US,1715192801
216,georgetown,5.4112,100.3354,84.13,80,20,3.44,MY,1715192396
217,cobourg,50.2667,10.9667,57.38,74,95,3.78,DE,1715192508
218,punta arenas,-53.15,-70.9167,37.51,93,75,3.44,CL,1715192802
219,sinabang,2.4803,96.3801,80.55,85,51,4.14,ID,1715192802
220,north bend,43.4065,-124.2243,60.93,67,0,18.41,US,1715192802
221,ust-nera,64.5667,143.2,34.11,84,99,1.07,RU,1715192802
222,ataq,14.5377,46.8319,80.17,58,43,11.72,YE,1715192802
223,kununurra,-15.7667,128.7333,66.18,77,0,3.44,AU,1715192802
224,bamboo flat,11.7,92.7167,82.49,89,20,2.3,IN,1715192802
225,saipan,15.1355,145.701,83.1,78,40,13.8,MP,1715192803
226,yashkul',46.1711,45.3435,55.89,55,84,11.14,RU,1715192803
227,mount gambier,-37.8333,140.7667,46.8,93,11,3.06,AU,1715192803
228,novouzensk,50.4592,48.1431,48.74,43,19,14.94,RU,1715192803
229,port douglas,-16.4833,145.4667,75.76,82,95,15.97,AU,1715192803
230,kwang binh,17.4833,106.6,76.77,87,32,2.93,VN,1715192803
231,bayanaul,50.7889,75.6956,54.14,50,9,7.49,KZ,1715192803
232,lodja,-3.4833,23.4333,75.18,87,95,0.36,CD,1715192803
233,nago,26.5881,127.9761,68.85,67,38,12.26,JP,1715192803
234,aasiaat,68.7098,-52.8699,25.2,69,64,10.6,GL,1715192804
235,diapaga,12.0708,1.7889,100.99,23,68,8.28,BF,1715192804
236,meiktila,20.8667,95.8667,86.68,45,99,6.08,MM,1715192804
237,maardu,59.4767,25.025,39.2,50,0,4.61,EE,1715192804
238,chonchi,-42.6128,-73.8092,49.21,86,100,7.99,CL,1715192804
239,ondangwa,-17.9167,15.95,84.2,37,82,2.3,NA,1715192804
240,port lincoln,-34.7333,135.8667,60.04,79,86,12.39,AU,1715192804
241,doctor juan leon mallorquin,-25.4,-55.2667,89.33,33,17,8.34,PY,1715192804
242,ilhabela,-23.7781,-45.3581,84.52,58,23,6.06,BR,1715192326
243,san jose de jachal,-30.2406,-68.7469,50.88,50,64,3.94,AR,1715192804
244,portland,45.5234,-122.6762,59.95,66,20,4.61,US,1715192016
245,archangelos,36.2149,28.1149,67.98,82,32,3.44,GR,1715192805
246,mogadishu,2.0371,45.3438,82.56,82,79,14.63,SO,1715192805
247,bhuj,23.2667,69.6667,83.32,65,0,17.0,IN,1715192805
248,crookston,47.7741,-96.6081,66.31,45,40,8.05,US,1715192805
249,okahao,-17.885,15.0667,82.62,38,71,2.48,NA,1715192805
250,kismayo,-0.3582,42.5454,80.06,87,84,18.9,SO,1715192805
251,oranjemund,-28.55,16.4333,59.38,82,0,12.12,NA,1715192805
252,bihac,44.8169,15.8708,57.67,99,100,5.99,BA,1715192805
253,naze,28.3667,129.4833,63.52,70,23,19.22,JP,1715192805
254,ruteng,-8.6136,120.4721,59.95,93,54,1.68,ID,1715192806
255,keelung,25.1283,121.7419,72.95,53,85,10.94,TW,1715192806
256,torit,4.4133,32.5678,79.52,61,100,5.03,SS,1715192806
257,tir pul,34.5943,61.269,82.58,35,81,7.94,AF,1715192806
258,taihecun,45.8,130.85,60.73,32,86,10.02,CN,1715192806
259,thurgoona,-36.0451,146.9919,56.66,100,65,3.0,AU,1715192806
260,la'ie,21.6477,-157.9253,78.76,70,12,5.99,US,1715192702
261,itumba,-9.4,33.1833,60.49,97,73,4.97,TZ,1715192806
262,hailar,49.2,119.7,45.95,26,0,4.92,CN,1715192807
263,poronaysk,49.2167,143.1167,31.08,80,12,4.05,RU,1715192807
264,tome acu,-2.4189,-48.1522,89.91,58,70,4.36,BR,1715192807
265,bousso,10.4795,16.7117,99.9,13,54,6.33,TD,1715192807
266,heber springs,35.4915,-92.0313,80.92,80,100,12.39,US,1715192807
267,mirriah,13.7073,9.1501,106.41,7,0,6.91,NE,1715192807
268,kapa'a,22.0752,-159.319,76.98,82,100,10.36,US,1715192611
269,miasskoye,55.2784,61.8905,60.89,49,100,21.65,RU,1715192535
270,mutoko,-17.397,32.2268,62.08,45,0,6.04,ZW,1715192808
271,kaohsiung,22.6163,120.3133,81.03,81,75,6.91,TW,1715192808
272,kapuskasing,49.4169,-82.4331,46.49,61,75,14.97,CA,1715192685
273,kamaishi,39.2667,141.8833,44.73,85,100,3.06,JP,1715192808
274,hotan,37.0997,79.9269,74.25,16,0,4.27,CN,1715192808
275,bad gandersheim,51.8667,10.0333,61.34,53,19,3.56,DE,1715192808
276,shipunovo,52.1582,82.2173,56.52,54,2,1.34,RU,1715192808
277,arkhangel'sk,64.5401,40.5433,28.13,68,100,11.18,RU,1715192652
278,el granada,37.5027,-122.4694,75.09,41,0,17.27,US,1715192809
279,santana,-0.0583,-51.1817,86.18,79,40,6.91,BR,1715192556
280,puerto aysen,-45.4,-72.7,42.01,100,100,2.73,CL,1715192802
281,freetown,8.484,-13.2299,85.71,74,75,13.8,SL,1715192809
282,arraial do cabo,-22.9661,-42.0278,85.96,69,0,23.02,BR,1715192809
283,monahans,31.5943,-102.8926,90.28,10,0,16.96,US,1715192809
284,pacifica,37.6138,-122.4869,74.88,39,6,1.99,US,1715192726
285,mahina,-17.5065,-149.489,83.97,70,20,2.3,PF,1715192809
286,khilok,51.3674,110.4676,40.05,43,36,4.83,RU,1715192810
287,lycksele,64.5954,18.6735,37.27,65,75,3.44,SE,1715192683
288,geraldton,-28.7667,114.6,73.81,28,100,16.11,AU,1715192578
289,tofol,5.3248,163.0078,82.83,83,95,18.95,FM,1715192810
290,caribou,46.8606,-68.012,61.47,38,0,6.91,US,1715192735
291,grande prairie,55.1667,-118.8027,55.58,26,75,12.66,CA,1715192655
292,avarua,-21.2078,-159.775,82.45,89,75,9.22,CK,1715192810
293,grants pass,42.439,-123.3284,58.8,51,0,1.01,US,1715192051
294,susuman,62.7833,148.1667,29.98,83,87,3.0,RU,1715192810
295,kas,36.2018,29.6377,63.54,72,23,1.9,TR,1715192810
296,castillos,-34.1667,-53.8333,63.32,87,97,15.32,UY,1715192810
297,ghat,24.9647,10.1728,93.25,8,6,11.3,LY,1715192811
298,prineville,44.2999,-120.8345,55.11,52,0,5.75,US,1715192811
299,slawno,54.3628,16.6789,47.55,69,69,6.6,PL,1715192811
300,rio grande,-32.035,-52.0986,71.71,84,99,21.81,BR,1715192811
301,mata-utu,-13.2816,-176.1745,84.65,79,83,10.4,WF,1715192811
302,az zuwaytinah,30.9522,20.1202,78.67,30,12,18.54,LY,1715192811
303,kudahuvadhoo,2.6708,72.8944,84.58,74,100,13.8,MV,1715192811
304,shevchenko,48.5,35.0,52.74,46,54,3.38,UA,1715192811
305,pisco,-13.7,-76.2167,71.02,83,75,11.5,PE,1715192497
306,tangzhai,34.4328,116.5911,59.52,54,91,8.12,CN,1715192812
307,engel's,51.5,46.1167,50.13,8,7,3.0,RU,1715192812
308,vorgashor,67.5833,63.95,14.81,93,41,6.82,RU,1715192812
309,badger,64.8,-147.5333,50.0,69,75,3.44,US,1715192812
310,pemba,-12.974,40.5178,83.1,74,40,12.66,MZ,1715192812
311,armacao de buzios,-22.7469,-41.8817,89.65,79,0,23.02,BR,1715192812
312,bodaybo,57.8506,114.1933,31.77,95,94,2.55,RU,1715192813
313,isangel,-19.55,169.2667,72.27,65,8,14.5,VU,1715192567
314,karonga,-9.9333,33.9333,73.54,79,51,9.53,MW,1715192813
315,sungailiat,-1.85,106.1333,78.62,89,99,3.44,ID,1715192813
316,malvan,16.0667,73.4667,82.71,77,0,11.18,IN,1715192813
317,gongzhuling,43.5008,124.8198,61.05,36,97,20.4,CN,1715192813
318,broken hill,-31.95,141.4333,56.37,70,21,9.82,AU,1715192813
319,port saint john's,-31.6229,29.5448,71.94,75,49,4.16,ZA,1715192813
320,magnolia,33.2671,-93.2393,80.29,83,100,8.01,US,1715192552
321,dom pedro,-4.4833,-44.45,92.23,45,100,5.08,BR,1715192814
322,gadzhiyevo,69.2551,33.3362,28.71,79,100,5.7,RU,1715192814
323,gargalianoi,37.0667,21.6333,63.36,77,100,5.3,GR,1715192814
324,zhangjiakou,40.81,114.8794,65.52,32,64,3.8,CN,1715192814
325,sirte,31.2089,16.5887,69.73,64,0,11.25,LY,1715192814
326,namibe,-15.1961,12.1522,74.41,68,2,11.03,AO,1715192814
327,alesund,62.4723,6.1549,50.9,77,75,11.5,NO,1715192814
328,boende,-0.2167,20.8667,77.54,84,75,1.34,CD,1715192814
329,touros,-5.1989,-35.4608,85.05,70,68,12.97,BR,1715192815
330,choix,26.7092,-108.3219,95.23,10,0,8.32,MX,1715192815
331,kavaratti,10.5669,72.642,87.28,67,100,9.78,IN,1715192815
332,hanceville,34.0607,-86.7675,84.11,86,98,8.48,US,1715192815
333,santa ana de yacuma,-13.75,-65.4333,89.55,66,75,9.22,BO,1715192815
334,srivaikuntam,8.6167,77.9333,87.39,64,100,0.36,IN,1715192815
335,san pablo,14.0669,121.3258,83.79,94,21,2.71,PH,1715192575
336,howard springs,-12.497,131.047,75.11,97,36,1.97,AU,1715192815
337,maloye ganyushkino,46.6,49.2667,61.93,58,100,16.62,KZ,1715192815
338,ribadeo,43.5325,-7.0991,58.69,77,63,3.83,ES,1715192816
339,barra,-11.0894,-43.1417,87.44,49,32,14.83,BR,1715192816
340,coronel dorrego,-38.7187,-61.2873,52.93,43,27,25.14,AR,1715192816
341,kerikeri,-35.2268,173.9474,50.92,83,4,8.01,NZ,1715192816
342,ouddorp,51.8117,3.9347,57.97,77,52,13.62,NL,1715192816
343,kenai,60.5544,-151.2583,44.69,65,100,11.5,US,1715192816
344,murray bridge,-35.1167,139.2667,52.34,82,6,3.83,AU,1715192816
345,remire-montjoly,4.9167,-52.2667,84.24,79,0,5.75,GF,1715192816
346,inarajan village,13.2736,144.7484,82.54,91,100,12.57,GU,1715192817
347,la ronge,55.1001,-105.2842,59.22,44,0,5.75,CA,1715192817
348,howrah,22.5892,88.3103,80.6,83,40,5.75,IN,1715192817
349,xaltianguis,17.0667,-99.8333,76.51,37,32,7.38,MX,1715192817
350,borogontsy,62.6683,131.1683,31.75,92,100,5.57,RU,1715192817
351,manado,1.487,124.8455,77.77,100,20,1.14,ID,1715192743
352,bardai,11.65,7.2333,95.65,13,76,6.87,NG,1715192817
353,konarka,19.9,86.1167,77.4,84,1,5.48,IN,1715192817
354,mashhad,36.297,59.6062,71.74,68,40,9.22,IR,1715192705
355,makarska,43.2969,17.0178,66.4,76,99,8.55,HR,1715192817
356,sitka,57.0531,-135.33,46.29,87,100,13.8,US,1715192520
357,muynoq,43.7683,59.0214,63.09,53,1,20.51,UZ,1715192818
358,tostedt,53.2833,9.7167,60.82,55,8,7.49,DE,1715192818
359,santa marta,11.2408,-74.199,90.9,69,40,6.91,CO,1715192532
360,carahue,-38.7,-73.1667,54.36,57,39,1.74,CL,1715192818
361,lobujya,27.95,86.8167,19.35,89,97,0.51,NP,1715192818
362,magadan,59.5667,150.8,31.53,92,91,4.85,RU,1715192818
363,cidreira,-30.1811,-50.2056,78.57,72,83,12.57,BR,1715192819
364,dakhla,23.6848,-15.958,68.02,83,82,19.57,EH,1715192819
